row_number,calc_id,note_id,question,baseline_answer,ground_truth_answer,lower_limit,upper_limit,oracle_answer,oracle_status,oracle_parse_status,attempts,latency_s,started_utc,finished_utc,task_id,oracle_model,prompt_id,output_path,parsed_json_path,cli_log_path
121,8,pmc-8230162-2,What is the patient's score of Wells' criteria for Pulmonary Embolism? You should use the patient's medical values and health status when they were first admitted to the hospital prior to any treatment.,3.0,1.5,1.5,1.5,1.5,Correct,ok,1,46.043,2026-02-04T12:16:56.354804+00:00,2026-02-04T12:17:42.397700+00:00,row121_calc8_notepmc-8230162-2,5.2 Thinking,encounter_cot_full_v2,REDACTED/gitrepos/MedicalScienceExperiments/evaluation/logs/oracle_runs/20260204_oracle_52thinking_v2_incorrect198/outputs/row121_calc8_notepmc-8230162-2.attempt1.txt,REDACTED/gitrepos/MedicalScienceExperiments/evaluation/logs/oracle_runs/20260204_oracle_52thinking_v2_incorrect198/parsed/row121_calc8_notepmc-8230162-2.json,REDACTED/gitrepos/MedicalScienceExperiments/evaluation/logs/oracle_runs/20260204_oracle_52thinking_v2_incorrect198/oracle_cli_logs/row121_calc8_notepmc-8230162-2.attempt1.log
127,8,pmc-8443390-1,What is the patient's score of Wells' criteria for Pulmonary Embolism? You should use the patient's medical values and health status when they were first admitted to the hospital prior to any treatment.,7.5,6,6,6,4.5,Incorrect,ok,1,55.3,2026-02-04T12:17:42.398646+00:00,2026-02-04T12:18:37.698523+00:00,row127_calc8_notepmc-8443390-1,5.2 Thinking,encounter_cot_full_v2,REDACTED/gitrepos/MedicalScienceExperiments/evaluation/logs/oracle_runs/20260204_oracle_52thinking_v2_incorrect198/outputs/row127_calc8_notepmc-8443390-1.attempt1.txt,REDACTED/gitrepos/MedicalScienceExperiments/evaluation/logs/oracle_runs/20260204_oracle_52thinking_v2_incorrect198/parsed/row127_calc8_notepmc-8443390-1.json,REDACTED/gitrepos/MedicalScienceExperiments/evaluation/logs/oracle_runs/20260204_oracle_52thinking_v2_incorrect198/oracle_cli_logs/row127_calc8_notepmc-8443390-1.attempt1.log
128,8,pmc-6764554-1,What is the patient's score of Wells' criteria for Pulmonary Embolism? You should use the patient's medical values and health status when they were first admitted to the hospital prior to any treatment.,4.5,7.5,7.5,7.5,1.5,Incorrect,ok,1,43.097,2026-02-04T12:18:37.700491+00:00,2026-02-04T12:19:20.797192+00:00,row128_calc8_notepmc-6764554-1,5.2 Thinking,encounter_cot_full_v2,REDACTED/gitrepos/MedicalScienceExperiments/evaluation/logs/oracle_runs/20260204_oracle_52thinking_v2_incorrect198/outputs/row128_calc8_notepmc-6764554-1.attempt1.txt,REDACTED/gitrepos/MedicalScienceExperiments/evaluation/logs/oracle_runs/20260204_oracle_52thinking_v2_incorrect198/parsed/row128_calc8_notepmc-6764554-1.json,REDACTED/gitrepos/MedicalScienceExperiments/evaluation/logs/oracle_runs/20260204_oracle_52thinking_v2_incorrect198/oracle_cli_logs/row128_calc8_notepmc-6764554-1.attempt1.log
136,8,pmc-8642122-1,What is the patient's score of Wells' criteria for Pulmonary Embolism? You should use the patient's medical values and health status when they were first admitted to the hospital prior to any treatment.,1.5,4.5,4.5,4.5,1.5,Incorrect,ok,1,44.502,2026-02-04T12:19:20.799130+00:00,2026-02-04T12:20:05.301495+00:00,row136_calc8_notepmc-8642122-1,5.2 Thinking,encounter_cot_full_v2,REDACTED/gitrepos/MedicalScienceExperiments/evaluation/logs/oracle_runs/20260204_oracle_52thinking_v2_incorrect198/outputs/row136_calc8_notepmc-8642122-1.attempt1.txt,REDACTED/gitrepos/MedicalScienceExperiments/evaluation/logs/oracle_runs/20260204_oracle_52thinking_v2_incorrect198/parsed/row136_calc8_notepmc-8642122-1.json,REDACTED/gitrepos/MedicalScienceExperiments/evaluation/logs/oracle_runs/20260204_oracle_52thinking_v2_incorrect198/oracle_cli_logs/row136_calc8_notepmc-8642122-1.attempt1.log
137,8,pmc-8452543-1,What is the patient's score of Wells' criteria for Pulmonary Embolism? You should use the patient's medical values and health status when they were first admitted to the hospital prior to any treatment.,3,1.5,1.5,1.5,0,Incorrect,ok,1,52.687,2026-02-04T12:20:05.303754+00:00,2026-02-04T12:20:57.990701+00:00,row137_calc8_notepmc-8452543-1,5.2 Thinking,encounter_cot_full_v2,REDACTED/gitrepos/MedicalScienceExperiments/evaluation/logs/oracle_runs/20260204_oracle_52thinking_v2_incorrect198/outputs/row137_calc8_notepmc-8452543-1.attempt1.txt,REDACTED/gitrepos/MedicalScienceExperiments/evaluation/logs/oracle_runs/20260204_oracle_52thinking_v2_incorrect198/parsed/row137_calc8_notepmc-8452543-1.json,REDACTED/gitrepos/MedicalScienceExperiments/evaluation/logs/oracle_runs/20260204_oracle_52thinking_v2_incorrect198/oracle_cli_logs/row137_calc8_notepmc-8452543-1.attempt1.log
143,9,pmc-6691829-1,"Using the MDRD GFR Equation, what is the patient's Glomerular Filtration Rate (GFR) in terms of mL/min/1.73 m²? If the patient is black, please use the MDRD GFR Equation for Blacks. You should use the patient's medical values and health status when they were first admitted to the hospital prior to any treatment.",4.011,8.77541,8.33664,9.21418,8.85243,Correct,ok,1,158.549,2026-02-04T12:20:57.993466+00:00,2026-02-04T12:23:36.542685+00:00,row143_calc9_notepmc-6691829-1,5.2 Thinking,encounter_cot_full_v2,REDACTED/gitrepos/MedicalScienceExperiments/evaluation/logs/oracle_runs/20260204_oracle_52thinking_v2_incorrect198/outputs/row143_calc9_notepmc-6691829-1.attempt1.txt,REDACTED/gitrepos/MedicalScienceExperiments/evaluation/logs/oracle_runs/20260204_oracle_52thinking_v2_incorrect198/parsed/row143_calc9_notepmc-6691829-1.json,REDACTED/gitrepos/MedicalScienceExperiments/evaluation/logs/oracle_runs/20260204_oracle_52thinking_v2_incorrect198/oracle_cli_logs/row143_calc9_notepmc-6691829-1.attempt1.log
144,9,pmc-4652317-1,"Using the MDRD GFR Equation, what is the patient's Glomerular Filtration Rate (GFR) in terms of mL/min/1.73 m²? If the patient is black, please use the MDRD GFR Equation for Blacks. You should use the patient's medical values and health status when they were first admitted to the hospital prior to any treatment.",1.92,3.61309,3.43244,3.79374,3.61309,Correct,ok,1,67.233,2026-02-04T12:23:36.543689+00:00,2026-02-04T12:24:43.776385+00:00,row144_calc9_notepmc-4652317-1,5.2 Thinking,encounter_cot_full_v2,REDACTED/gitrepos/MedicalScienceExperiments/evaluation/logs/oracle_runs/20260204_oracle_52thinking_v2_incorrect198/outputs/row144_calc9_notepmc-4652317-1.attempt1.txt,REDACTED/gitrepos/MedicalScienceExperiments/evaluation/logs/oracle_runs/20260204_oracle_52thinking_v2_incorrect198/parsed/row144_calc9_notepmc-4652317-1.json,REDACTED/gitrepos/MedicalScienceExperiments/evaluation/logs/oracle_runs/20260204_oracle_52thinking_v2_incorrect198/oracle_cli_logs/row144_calc9_notepmc-4652317-1.attempt1.log
145,9,pmc-6485150-1,"Using the MDRD GFR Equation, what is the patient's Glomerular Filtration Rate (GFR) in terms of mL/min/1.73 m²? If the patient is black, please use the MDRD GFR Equation for Blacks. You should use the patient's medical values and health status when they were first admitted to the hospital prior to any treatment.",32,44.38424,42.16503,46.60345,44.38424,Correct,ok,1,144.584,2026-02-04T12:24:43.778276+00:00,2026-02-04T12:27:08.362145+00:00,row145_calc9_notepmc-6485150-1,5.2 Thinking,encounter_cot_full_v2,REDACTED/gitrepos/MedicalScienceExperiments/evaluation/logs/oracle_runs/20260204_oracle_52thinking_v2_incorrect198/outputs/row145_calc9_notepmc-6485150-1.attempt1.txt,REDACTED/gitrepos/MedicalScienceExperiments/evaluation/logs/oracle_runs/20260204_oracle_52thinking_v2_incorrect198/parsed/row145_calc9_notepmc-6485150-1.json,REDACTED/gitrepos/MedicalScienceExperiments/evaluation/logs/oracle_runs/20260204_oracle_52thinking_v2_incorrect198/oracle_cli_logs/row145_calc9_notepmc-6485150-1.attempt1.log
147,9,pmc-7787914-1,"Using the MDRD GFR Equation, what is the patient's Glomerular Filtration Rate (GFR) in terms of mL/min/1.73 m²? If the patient is black, please use the MDRD GFR Equation for Blacks. You should use the patient's medical values and health status when they were first admitted to the hospital prior to any treatment.",30.1,38.13722,36.23036,40.04408,38.54696,Correct,ok,1,113.45,2026-02-04T12:27:08.364112+00:00,2026-02-04T12:29:01.814462+00:00,row147_calc9_notepmc-7787914-1,5.2 Thinking,encounter_cot_full_v2,REDACTED/gitrepos/MedicalScienceExperiments/evaluation/logs/oracle_runs/20260204_oracle_52thinking_v2_incorrect198/outputs/row147_calc9_notepmc-7787914-1.attempt1.txt,REDACTED/gitrepos/MedicalScienceExperiments/evaluation/logs/oracle_runs/20260204_oracle_52thinking_v2_incorrect198/parsed/row147_calc9_notepmc-7787914-1.json,REDACTED/gitrepos/MedicalScienceExperiments/evaluation/logs/oracle_runs/20260204_oracle_52thinking_v2_incorrect198/oracle_cli_logs/row147_calc9_notepmc-7787914-1.attempt1.log
148,9,pmc-1847820-1,"Using the MDRD GFR Equation, what is the patient's Glomerular Filtration Rate (GFR) in terms of mL/min/1.73 m²? If the patient is black, please use the MDRD GFR Equation for Blacks. You should use the patient's medical values and health status when they were first admitted to the hospital prior to any treatment.",6.57653,4.30749,4.09212,4.52286,4.30749,Correct,ok,1,92.748,2026-02-04T12:29:01.815808+00:00,2026-02-04T12:30:34.564164+00:00,row148_calc9_notepmc-1847820-1,5.2 Thinking,encounter_cot_full_v2,REDACTED/gitrepos/MedicalScienceExperiments/evaluation/logs/oracle_runs/20260204_oracle_52thinking_v2_incorrect198/outputs/row148_calc9_notepmc-1847820-1.attempt1.txt,REDACTED/gitrepos/MedicalScienceExperiments/evaluation/logs/oracle_runs/20260204_oracle_52thinking_v2_incorrect198/parsed/row148_calc9_notepmc-1847820-1.json,REDACTED/gitrepos/MedicalScienceExperiments/evaluation/logs/oracle_runs/20260204_oracle_52thinking_v2_incorrect198/oracle_cli_logs/row148_calc9_notepmc-1847820-1.attempt1.log
150,9,pmc-6454930-1,"Using the MDRD GFR Equation, what is the patient's Glomerular Filtration Rate (GFR) in terms of mL/min/1.73 m²? If the patient is black, please use the MDRD GFR Equation for Blacks. You should use the patient's medical values and health status when they were first admitted to the hospital prior to any treatment.",2.59000,2.96306,2.81491,3.11121,2.96306,Correct,ok,1,66.127,2026-02-04T12:30:34.566204+00:00,2026-02-04T12:31:40.693556+00:00,row150_calc9_notepmc-6454930-1,5.2 Thinking,encounter_cot_full_v2,REDACTED/gitrepos/MedicalScienceExperiments/evaluation/logs/oracle_runs/20260204_oracle_52thinking_v2_incorrect198/outputs/row150_calc9_notepmc-6454930-1.attempt1.txt,REDACTED/gitrepos/MedicalScienceExperiments/evaluation/logs/oracle_runs/20260204_oracle_52thinking_v2_incorrect198/parsed/row150_calc9_notepmc-6454930-1.json,REDACTED/gitrepos/MedicalScienceExperiments/evaluation/logs/oracle_runs/20260204_oracle_52thinking_v2_incorrect198/oracle_cli_logs/row150_calc9_notepmc-6454930-1.attempt1.log
151,9,pmc-8432418-1,"Using the MDRD GFR Equation, what is the patient's Glomerular Filtration Rate (GFR) in terms of mL/min/1.73 m²? If the patient is black, please use the MDRD GFR Equation for Blacks. You should use the patient's medical values and health status when they were first admitted to the hospital prior to any treatment.",4.91709,5.49779,5.2229,5.77268,5.49779,Correct,ok,1,87.272,2026-02-04T12:31:40.694843+00:00,2026-02-04T12:33:07.967250+00:00,row151_calc9_notepmc-8432418-1,5.2 Thinking,encounter_cot_full_v2,REDACTED/gitrepos/MedicalScienceExperiments/evaluation/logs/oracle_runs/20260204_oracle_52thinking_v2_incorrect198/outputs/row151_calc9_notepmc-8432418-1.attempt1.txt,REDACTED/gitrepos/MedicalScienceExperiments/evaluation/logs/oracle_runs/20260204_oracle_52thinking_v2_incorrect198/parsed/row151_calc9_notepmc-8432418-1.json,REDACTED/gitrepos/MedicalScienceExperiments/evaluation/logs/oracle_runs/20260204_oracle_52thinking_v2_incorrect198/oracle_cli_logs/row151_calc9_notepmc-8432418-1.attempt1.log
152,9,pmc-3635627-1,"Using the MDRD GFR Equation, what is the patient's Glomerular Filtration Rate (GFR) in terms of mL/min/1.73 m²? If the patient is black, please use the MDRD GFR Equation for Blacks. You should use the patient's medical values and health status when they were first admitted to the hospital prior to any treatment.",22.10390,11.0264,10.47508,11.57772,11.0264,Correct,ok,1,100.643,2026-02-04T12:33:07.969179+00:00,2026-02-04T12:34:48.611866+00:00,row152_calc9_notepmc-3635627-1,5.2 Thinking,encounter_cot_full_v2,REDACTED/gitrepos/MedicalScienceExperiments/evaluation/logs/oracle_runs/20260204_oracle_52thinking_v2_incorrect198/outputs/row152_calc9_notepmc-3635627-1.attempt1.txt,REDACTED/gitrepos/MedicalScienceExperiments/evaluation/logs/oracle_runs/20260204_oracle_52thinking_v2_incorrect198/parsed/row152_calc9_notepmc-3635627-1.json,REDACTED/gitrepos/MedicalScienceExperiments/evaluation/logs/oracle_runs/20260204_oracle_52thinking_v2_incorrect198/oracle_cli_logs/row152_calc9_notepmc-3635627-1.attempt1.log
